2017-01-18 16:11:50.633 | INFO | Root WebApplicationContext: initialization started | main | org.springframework.web.context.ContextLoader.initWebApplicationContext | ContextLoader.java:305 
2017-01-18 16:11:50.704 | INFO | Refreshing Root WebApplicationContext: startup date [Wed Jan 18 16:11:50 CST 2017]; root of context hierarchy | main | org.springframework.web.context.support.XmlWebApplicationContext.prepareRefresh | AbstractApplicationContext.java:581 
2017-01-18 16:11:50.735 | INFO | Loading XML bean definitions from URL [jar:file:/D:/Java/maven/repository/tech/wetech/wetech-core/0.0.1-SNAPSHOT/wetech-core-0.0.1-SNAPSHOT.jar!/beans.xml] | main | org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions | XmlBeanDefinitionReader.java:317 
2017-01-18 16:11:51.241 | INFO | Loading properties file from class path resource [jdbc.properties] | main | org.springframework.beans.factory.config.PropertyPlaceholderConfigurer.loadProperties | PropertiesLoaderSupport.java:172 
2017-01-18 16:11:51.250 | INFO | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring | main | org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init> | AutowiredAnnotationBeanPostProcessor.java:155 
2017-01-18 16:11:51.831 | INFO | HCANN000001: Hibernate Commons Annotations {4.0.1.Final} | main | org.hibernate.annotations.common.Version.<clinit> | Version.java:37 
2017-01-18 16:11:51.840 | INFO | HHH000412: Hibernate Core {4.2.0.Final} | main | org.hibernate.Version.logVersion | Version.java:41 
2017-01-18 16:11:51.844 | INFO | HHH000206: hibernate.properties not found | main | org.hibernate.cfg.Environment.<clinit> | Environment.java:239 
2017-01-18 16:11:51.846 | INFO | HHH000021: Bytecode provider name : javassist | main | org.hibernate.cfg.Environment.buildBytecodeProvider | Environment.java:342 
2017-01-18 16:11:52.474 | INFO | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect | main | org.hibernate.dialect.Dialect.<init> | Dialect.java:128 
2017-01-18 16:11:52.500 | INFO | HHH000399: Using default transaction strategy (direct JDBC transactions) | main | org.hibernate.engine.transaction.internal.TransactionFactoryInitiator.initiateService | TransactionFactoryInitiator.java:68 
2017-01-18 16:11:52.506 | INFO | HHH000397: Using ASTQueryTranslatorFactory | main | org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory.<init> | ASTQueryTranslatorFactory.java:48 
2017-01-18 16:11:52.562 | INFO | HV000001: Hibernate Validator 4.3.1.Final | main | org.hibernate.validator.internal.util.Version.<clinit> | Version.java:27 
2017-01-18 16:11:53.246 | INFO | HHH000228: Running hbm2ddl schema update | main | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:182 
2017-01-18 16:11:53.247 | INFO | HHH000102: Fetching database metadata | main | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:193 
2017-01-18 16:11:53.253 | INFO | HHH000396: Updating schema | main | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:205 
2017-01-18 16:11:53.296 | INFO | HHH000261: Table found: wetech_cms.t_attachment | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:11:53.297 | INFO | HHH000037: Columns: [is_img, size, is_index_pic, old_name, id, suffix, type, create_date, is_attach, tid, new_name] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:11:53.297 | INFO | HHH000108: Foreign keys: [fk48549dceefdd7fd5] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:11:53.298 | INFO | HHH000126: Indexes: [fk48549dceefdd7fd5, primary] | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:11:53.326 | INFO | HHH000261: Table found: wetech_cms.t_channel | main | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
